source;date_iso;intitule;couleur_rgba;couleur_hex;couleur_nom;domaine_8;provenance_correspondance
Chrono_Bitcoin_institutionnalisation_V2_;2015-09-16;"ASIC ""Antminer S5+"" (~7,7 TH/s), par Bitmain";255,248,252,146;#f8fc92;jaune;ii;contenu : minage GPU, Slush, FPGA, ASIC
Chrono_Bitcoin_institutionnalisation_V2_;2015-09-17;[USA] La CFTC déclare assimilée Bitcoin à une marchandise dont elle assure la régulation;255,157,239,250;#9deffa;bleu clair;v;contenu : BCE, Senat, Tracfin, CFTC
Chrono_Bitcoin_institutionnalisation_V2_;2015-09-17;"Modification protocolaire d'Ethereum, Hard Fork ""Frontier"" introduisant la Bombe de difficulté";255,240,91,155;#f05b9b;rose;vii;contenu V2.8 : altcoins, Ethereum, Tether, DAO
Chrono_Bitcoin_institutionnalisation_V2_;2015-10-01;Première ICO sur Ethereum, le projet de marché prédictif Augur lève 18 600 BTC et 1 180 000 ETH (eq. 5 140 000 $);255,240,91,155;#f05b9b;rose;vii;contenu V2.8 : altcoins, Ethereum, Tether, DAO
Chrono_Bitcoin_institutionnalisation_V2_;2015-11-20;Coinbase lance aux USA sa carte de paiement;255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2_;2016-01-01;CoinBase atteint 5 Millions d'utilisateurs;255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Bitcoin_institutionnalisation_V2_;2016-01-14;"Publication du WP du protocole de couche 2 (L2), Bitcoin Lightning Network""";255,150,180,247;#96b4f7;bleu fonce;iv;calibre : 3/4 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2_;2016-04-04;"Lancement d'OpenBaazar, ""Ebay distribué"" usant du BTC";255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2_;2016-04-19;"Lancement de la bourse d'échange P2P en BTC ""Bisq""";255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2_;2016-04-25;La bourse d'échange Bitstamp obtient l'agrément d’établissement de paiement (Luxembourg).;255,157,239,250;#9deffa;bleu clair;v;contenu : BCE, Senat, Tracfin, CFTC
Chrono_Bitcoin_institutionnalisation_V2_;2016-05-01;"ICO de ""The DAO"", fond d'investissement distribué sur Ethereum (près de 16% des ETH en circulation sont levé)";255,240,91,155;#f05b9b;rose;vii;contenu V2.8 : altcoins, Ethereum, Tether, DAO
Chrono_Bitcoin_institutionnalisation_V2_;2016-06-17;"Un attaquant exploite une vulnérabilité dans ""The DAO"", vol potentiel de 31% des fonds qu'elle contient (3 641 694 ETH eq. 49 millions de $)";255,240,91,155;#f05b9b;rose;vii;contenu V2.8 : altcoins, Ethereum, Tether, DAO
Chrono_Bitcoin_institutionnalisation_V2_;2016-07-02;"ASIC ""Antminer S9"" (~14 TH/s), par Bitmain";255,248,252,146;#f8fc92;jaune;ii;contenu : minage GPU, Slush, FPGA, ASIC
Chrono_Bitcoin_institutionnalisation_V2_;2016-07-20;"Modification protocolaire d'Ethereum afin de solutionner l'attaque de ""The DAO"" ; Conflit communautaire et scission par un premier Hard fork contentieux, naissance de la CM ETC";255,240,91,155;#f05b9b;rose;vii;contenu V2.8 : altcoins, Ethereum, Tether, DAO
Chrono_Bitcoin_institutionnalisation_V2_;2016-08-03;La bourse d'échange Bitfinex perd 119 756 BTC (~72 Millions à l'époque) dans une attaque;255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Bitcoin_institutionnalisation_V2_;2016-11-14;Lancement de produits dérivés Bitcoin, par le Chicago Mercantile Exchange;255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2_;2017-01-01;CoinBase atteint 13 Millions d'utilisateurs;255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Bitcoin_institutionnalisation_V2_;2017-03-23;Migration de Storj vers Ethereum, citant un manque de développement et des frais de transaction trop élevés;255,240,91,155;#f05b9b;rose;vii;contenu V2.8 : altcoins, Ethereum, Tether, DAO
Chrono_Bitcoin_institutionnalisation_V2_;2017-04-01;[Japon] Le BTC et les monnaies dites « virtuelles » obtiennent le statut de moyens de paiement légaux.;255,157,239,250;#9deffa;bleu clair;v;contenu : BCE, Senat, Tracfin, CFTC
Chrono_Bitcoin_institutionnalisation_V2_;2017-05-23;"Accord de 56 entreprises sur une modification futures de la ""taille des Blocs"" (SEGWIT2X)";255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Bitcoin_institutionnalisation_V2_;2017-07-14;"Lancement de la plateforme d'échange en CM Binance, par ""CZ"" Changpeng Zhao";255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2_;2017-08-01;Coinbase lève 100 Millions de $, (valorisation à 1.6 Milliards);255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Bitcoin_institutionnalisation_V2_;2017-08-01;Premier Hard Fork contentieux sur Bitcoin, naissance de la CM Bitcoin Cash;255,247,179,179;#f7b3b3;rouge;vi;calibre : 2/2 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2_;2017-08-24;"Modification protocolaires ""Segwit"" (BIP 141, 143, 147), modification du schéma des signature";255,247,179,179;#f7b3b3;rouge;vi;calibre : 2/2 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2_;2017-10-16;"Modification protocolaire d'Ethereum, mise à jour ""Byzantium"", retardement de la bombe de difficulté et réduction de l'émission d'UCN (EIP 649)";255,240,91,155;#f05b9b;rose;vii;contenu V2.8 : altcoins, Ethereum, Tether, DAO
Chrono_Bitcoin_institutionnalisation_V2_;2017-12-18;Lancement de produits dérivés futurs Bitcoin, par le Chicago Board Options Exchange;255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2_;2018-01-01;CoinBase atteint 22 Millions d'utilisateurs;255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Bitcoin_institutionnalisation_V2_;2018-01-10;"Tether migre vers Ethereum, soulignant la lenteur d'Omni/Mastercoin ; lancement d'un stablecoin Euro (EURT)";255,240,91,155;#f05b9b;rose;vii;contenu V2.8 : altcoins, Ethereum, Tether, DAO
Chrono_Bitcoin_institutionnalisation_V2_;2018-01-15;[France] Ouverture d'une mission par le Ministère des Finance sur les CM, dirigée par JP. Landau;255,157,239,250;#9deffa;bleu clair;v;contenu : BCE, Senat, Tracfin, CFTC
Chrono_Bitcoin_institutionnalisation_V2_;2018-02-06;[USA] Débat au Sénat Américain sur les CM;255,157,239,250;#9deffa;bleu clair;v;contenu : BCE, Senat, Tracfin, CFTC
Chrono_Bitcoin_institutionnalisation_V2_;2018-03-15;"Première implémentation logiciel du protocole L2 ""Lightning Network"", par Lighning Labs";255,247,179,179;#f7b3b3;rouge;vi;calibre : 2/2 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2_;2018-03-15;Lightning Labs lève 2,5 Millions de $;255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Bitcoin_institutionnalisation_V2_;2018-04-03;Bitmain annonce la sortie d'un ASIC dedié au minage d'Ethereum (Antminer E3);255,240,91,155;#f05b9b;rose;vii;contenu V2.8 : altcoins, Ethereum, Tether, DAO
Chrono_Bitcoin_institutionnalisation_V2_;2018-10-26;Lancement du Wrapped Bitcoin (WBTC) sur Ethereum, par Bitgo et d'autres entreprises;255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2_;2019-01-01;La bourse d'échange CoinBase atteint 30 Millions d'utilisateurs;255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Bitcoin_institutionnalisation_V2_;2019-02-28;"Modification protocolaire d'Ethereum, Hard Fork ""Constantinople / St Petersbourg"", retardement de la bombe de difficulté et baisse de l'émission d'UCN (EIP 1234)";255,240,91,155;#f05b9b;rose;vii;contenu V2.8 : altcoins, Ethereum, Tether, DAO
Chrono_Bitcoin_institutionnalisation_V2_;2019-05-07;La bourse d'échange Binance perd 7000 BTC, (~40 Millions $);255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Bitcoin_institutionnalisation_V2_;2020-01-01;La bourse d'échange CoinBase atteint 35 Millions d'utilisateurs;255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
