section_key;policy;top12_size;survivors_vs_legacy;new_entrants;measured_candidates;pinned;aggregated_from
III.3;legacy;12;12;0;109;4;4
III.3;verified-first;12;12;0;109;4;4
III.3.1;diagnostic-only;12;12;0;36;3;0
III.3.1;direct-count;12;7;5;36;3;0
III.3.1;hybrid-cautious;12;9;3;36;3;0
III.3.1;legacy;12;12;0;36;3;0
III.3.1;verified-first;12;12;0;36;3;0
III.3.2;diagnostic-only;12;12;0;18;4;0
III.3.2;direct-count;12;6;6;18;4;0
III.3.2;hybrid-cautious;12;6;6;18;4;0
III.3.2;legacy;12;12;0;18;4;0
III.3.2;verified-first;12;8;4;18;4;0
III.3.3;diagnostic-only;12;12;0;27;3;0
III.3.3;direct-count;12;9;3;27;3;0
III.3.3;hybrid-cautious;12;9;3;27;3;0
III.3.3;legacy;12;12;0;27;3;0
III.3.3;verified-first;12;9;3;27;3;0
III.3.4;diagnostic-only;12;12;0;28;4;0
III.3.4;direct-count;12;9;3;28;4;0
III.3.4;hybrid-cautious;12;9;3;28;4;0
III.3.4;legacy;12;12;0;28;4;0
III.3.4;verified-first;12;12;0;28;4;0
III.4;diagnostic-only;12;12;0;25;3;0
III.4;direct-count;12;5;7;25;3;0
III.4;hybrid-cautious;12;6;6;25;3;0
III.4;legacy;12;12;0;25;3;0
III.4;verified-first;12;6;6;25;3;0
ccl_preamble;diagnostic-only;12;12;0;7;0;0
ccl_preamble;direct-count;12;8;4;7;0;0
ccl_preamble;hybrid-cautious;12;12;0;7;0;0
ccl_preamble;legacy;12;12;0;7;0;0
ccl_preamble;verified-first;12;12;0;7;0;0
ch1_preamble;diagnostic-only;12;12;0;26;0;0
ch1_preamble;direct-count;12;8;4;26;0;0
ch1_preamble;hybrid-cautious;12;12;0;26;0;0
ch1_preamble;legacy;12;12;0;26;0;0
ch1_preamble;verified-first;12;12;0;26;0;0
ch2_preamble;diagnostic-only;12;12;0;22;0;0
ch2_preamble;direct-count;12;10;2;22;0;0
ch2_preamble;hybrid-cautious;12;12;0;22;0;0
ch2_preamble;legacy;12;12;0;22;0;0
ch2_preamble;verified-first;12;12;0;22;0;0
ch3_preamble;diagnostic-only;12;12;0;22;0;0
ch3_preamble;direct-count;12;11;1;22;0;0
ch3_preamble;hybrid-cautious;12;12;0;22;0;0
ch3_preamble;legacy;12;12;0;22;0;0
ch3_preamble;verified-first;12;12;0;22;0;0
conclu_aceph;diagnostic-only;12;12;0;3;0;0
conclu_aceph;direct-count;12;5;7;3;0;0
conclu_aceph;hybrid-cautious;12;5;7;3;0;0
conclu_aceph;legacy;12;12;0;3;0;0
conclu_aceph;verified-first;12;5;7;3;0;0
conclu_boucs;diagnostic-only;12;12;0;12;0;0
conclu_boucs;direct-count;12;8;4;12;0;0
conclu_boucs;hybrid-cautious;12;8;4;12;0;0
conclu_boucs;legacy;12;12;0;12;0;0
conclu_boucs;verified-first;12;8;4;12;0;0
conclu_infra;diagnostic-only;12;12;0;9;0;0
conclu_infra;direct-count;12;8;4;9;0;0
conclu_infra;hybrid-cautious;12;8;4;9;0;0
conclu_infra;legacy;12;12;0;9;0;0
conclu_infra;verified-first;12;8;4;9;0;0
conclu_resume;diagnostic-only;12;12;0;15;0;0
conclu_resume;direct-count;12;3;9;15;0;0
conclu_resume;hybrid-cautious;12;3;9;15;0;0
conclu_resume;legacy;12;12;0;15;0;0
conclu_resume;verified-first;12;3;9;15;0;0
conclu_theo;diagnostic-only;12;12;0;6;0;1
conclu_theo;direct-count;12;8;4;6;0;1
conclu_theo;hybrid-cautious;12;8;4;6;0;1
conclu_theo;legacy;12;12;0;6;0;1
conclu_theo;verified-first;12;8;4;6;0;1
conclu_theo_mon;diagnostic-only;12;12;0;6;0;0
conclu_theo_mon;direct-count;12;8;4;6;0;0
conclu_theo_mon;hybrid-cautious;12;8;4;6;0;0
conclu_theo_mon;legacy;12;12;0;6;0;0
conclu_theo_mon;verified-first;12;8;4;6;0;0
conclu_traduction;diagnostic-only;12;12;0;2;0;0
conclu_traduction;direct-count;12;6;6;2;0;0
conclu_traduction;hybrid-cautious;12;6;6;2;0;0
conclu_traduction;legacy;12;12;0;2;0;0
conclu_traduction;verified-first;12;6;6;2;0;0
glossaire_preamble;diagnostic-only;12;12;0;0;0;0
glossaire_preamble;direct-count;12;12;0;0;0;0
glossaire_preamble;hybrid-cautious;12;12;0;0;0;0
glossaire_preamble;legacy;12;12;0;0;0;0
