source;date_iso;intitule;couleur_rgba;couleur_hex;couleur_nom;domaine_8;provenance_correspondance
Chrono_Bitcoin_institutionnalisation_V2;2016-08-03;La bourse d'échange Bitfinex perd 119 756 BTC (~72 Millions à l'époque) dans une attaque;255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Bitcoin_institutionnalisation_V2;2016-11-14;Lancement de produits dérivés Bitcoin, par le Chicago Mercantile Exchange;255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2017-01-01;La bourse d'échange CoinBase atteint 13 Millions d'utilisateurs;255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Altcoin_institutionnalisation_V0;2017-04-01;[Japon] Le BTC et les monnaies dites « virtuelles » obtiennent le statut de moyens de paiement légaux.;255,157,239,250;#9deffa;bleu clair;v;contenu : BCE, Senat, Tracfin, CFTC
Chrono_Altcoin_institutionnalisation_V0;2017-05-23;"Accord de 56 entreprises sur une modification futures de la ""taille des Blocs"" (SEGWIT2X)";255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Altcoin_institutionnalisation_V0;2017-07-14;"Lancement de la plateforme d'échange en CM Binance, par ""CZ"" Changpeng Zhao";255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2017-08-01;Coinbase lève 100 Millions de $, (valorisation à 1.6 Milliards);255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Altcoin_institutionnalisation_V0;2017-08-01;Premier Hard Fork contentieux naissance de la CM Bitcoin Cash;255,247,179,179;#f7b3b3;rouge;vi;calibre : 2/2 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2017-08-24;"Modification protocolaires ""Segwit"" (BIP 141, 143, 147), modification du schéma des signature";255,247,179,179;#f7b3b3;rouge;vi;calibre : 2/2 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2017-12-18;Lancement de produits dérivés futurs Bitcoin, par le Chicago Board Options Exchange;255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2018-01-01;La bourse d'échange CoinBase atteint 22 Millions d'utilisateurs;255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Altcoin_institutionnalisation_V0;2018-01-15;[France] Ouverture d'une mission par le Ministère des Finance sur les CM, dirigée par JP. Landau;255,157,239,250;#9deffa;bleu clair;v;contenu : BCE, Senat, Tracfin, CFTC
Chrono_Altcoin_institutionnalisation_V0;2018-02-06;[USA] Débat au Sénat Américain sur les CM;255,157,239,250;#9deffa;bleu clair;v;contenu : BCE, Senat, Tracfin, CFTC
Chrono_Altcoin_institutionnalisation_V0;2018-03-15;"Première implémentation logiciel du protocole L2 ""Lightning Network"", par Lighning Labs";255,247,179,179;#f7b3b3;rouge;vi;calibre : 2/2 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2018-03-15;Lightning Labs lève 2,5 Millions de $;255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Altcoin_institutionnalisation_V0;2018-10-26;Wrapped Bitcoin (WBTC) sur Ethereum, par Bitgo & d'autres entreprises;255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2018-10-26;Lancement du Wrapped Bitcoin (WBTC) sur Ethereum par Bitgo en partenariat avec d'autre l'entreprises;255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2019-01-01;La bourse d'échange CoinBase atteint 30 Millions d'utilisateurs;255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Bitcoin_institutionnalisation_V2;2019-05-07;La bourse d'échange Binance perd 7000 BTC, (~40 Millions à l'époque);255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Altcoin_institutionnalisation_V0;2020-01-01;La bourse d'échange CoinBase atteint 35 Millions d'utilisateurs;255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
