statut;score_nom;raison;motifs;canonique;canonique_id;date_can;doublon;doublon_id;date_dup
REJET_AUTO;0.4;n de crise differents (4 / 1);"meme type ; precisions emboitees ; n de crise differents (4 / 1)";CVE-2010-5141 (Vol de clés privées);0423dfbdf0904305b1d7e48c3df78ae2;2010;Bitcoin CVE 2010-5139 (Value Overflow);273237e8600e4e289cd76da835a82e67;2010-08-15
REJET_AUTO;0.4;types differents;types differents;InfrastructureEvent — Conférence Scaling Bitcoin, Montréal (septembre 2015);c485443e2a604bc98eb6826417438bfb;2015-09;Bitcoin Scaling Debate;e3742113c4674c52930e54ff203f0ac6;2015
REJET_AUTO;0.4;types differents;types differents;Bogue Bitcoin-Qt Windows 2012 (Crash nœuds);2e5d597d1add45de83a060caea9a05c3;2012;InfrastructureEvent — Bitcoin-Qt (client lourd);4ece5d2077c14b558480a3a80a7a550f;
REJET_AUTO;0.4;types differents;types differents;Fermeture Silk Road par le FBI (octobre 2013);272f2d17b89d4912aca1c4f7b77b7332;2013;InfrastructureEvent — Démantèlement de Silk Road;39fdc0aac1f74b8daad7a5227b99c8a5;2013-10-02
REJET_AUTO;0.4;dates contradictoires (2010-11-22 / 2009-11-22);"meme type ; dates contradictoires (2010-11-22 / 2009-11-22)";InfrastructureEvent — BitcoinTalk forum created;0d81bba0461d49a5af8997a20663d630;2010-11-22;InfrastructureEvent — Nakamoto crée le forum Bitcointalk;06ac37fc6cf24af49ec79ec265159ad8;2009-11-22
REJET_AUTO;0.4;dates contradictoires (2009-10-05 / 2010-05-21);"meme type ; dates contradictoires (2009-10-05 / 2010-05-21)";InfrastructureEvent — Premier échange BTC/$ (NewLibertyStandard);66a591458af644a9a0a83a0565e02488;2009-10-05;InfrastructureEvent — Premier échange contre marchandise (pizzas);09d15bd8d03c4fa38ecbd33cf5862f9b;2010-05-21
REJET_AUTO;0.33;dates contradictoires (2018-09-01 / 2010-08-15);"meme type ; dates contradictoires (2018-09-01 / 2010-08-15)";Bitcoin CVE 2018-17144;db9a125c4c7a4d03bd19d3dc8c474a9e;2018-09-01;Bitcoin CVE 2010-5139 (Value Overflow);273237e8600e4e289cd76da835a82e67;2010-08-15
REJET_AUTO;0.33;identifiants distinctifs divergents (['DAO', 'ICO'] / ['DAO']);"meme type ; une date absente ; identifiants distinctifs divergents (['DAO', 'ICO'] / ['DAO'])";Attaque de The DAO;c4eab4f4b3f54162b2404b3da684b840;2016-06-17;The DAO ICO;6b444dfd2cfe4786a214e3edef593d35;
REJET_AUTO;0.33;dates contradictoires (2012-08-23 / 2012-08-24);"meme type ; dates contradictoires (2012-08-23 / 2012-08-24)";CVE-2012-4683 — Targeted DoS by CPU exhaustion using alerts;07328e2856b1462d882bd1a6a7dfdafa;2012-08-23;CVE-2012-4684 — Network-wide DoS using malleable signatures in alerts;f5fd3b0f03fa4e11af9b54455a81cdd7;2012-08-24
REJET_AUTO;0.33;dates contradictoires (2015-11-12 / 2017-03-12);"meme type ; dates contradictoires (2015-11-12 / 2017-03-12)";BIP-148 — Soft fork: SegWit UASF;f979ff6cc3cd4861b1de30ec72463c7c;2017-03-12;BIP-65 — Soft fork: OP_CHECKLOCKTIMEVERIFY;6daefcd122a24b3589c41fcddd3732aa;2015-11-12
REJET_AUTO;0.33;dates contradictoires (2010-06 / 2012);"meme type ; dates contradictoires (2010-06 / 2012)";InfrastructureEvent — Fondation Bitcoin (fin 2012);f9f289de35d14463999022184a680479;2012;InfrastructureEvent — Bitcoin Faucet;0ec8d4683eb14f49a2b5dd37ac2c8858;2010-06
REJET_AUTO;0.33;dates contradictoires (2008-10-31 / 2009-01-09);"meme type ; dates contradictoires (2008-10-31 / 2009-01-09)";InfrastructureEvent — Publication du code Bitcoin v0.1;6c92b4f54bb54499b7e2d2c0625fccf7;2009-01-09;InfrastructureEvent — Publication du WP Bitcoin (mailing list);ab2449a123164aa3adff6b180035c327;2008-10-31
REJET_AUTO;0.33;dates contradictoires (2010-03-17 / 2010-07-18);"meme type ; dates contradictoires (2010-03-17 / 2010-07-18)";InfrastructureEvent — Première plateforme d’échange BTC (BitcoinMarket.com);d2a8798b6f064140851367c98162f594;2010-03-17;InfrastructureEvent — Première bourse d’échange importante (MtGox);9670a4beed1a47bda5628c9770dddfd1;2010-07-18
REJET_AUTO;0.33;dates contradictoires (2010-03-17 / 2011-02-01);"meme type ; dates contradictoires (2010-03-17 / 2011-02-01)";InfrastructureEvent — Première plateforme d’échange BTC (BitcoinMarket.com);d2a8798b6f064140851367c98162f594;2010-03-17;InfrastructureEvent — Première place d’échange illégale (Silk Road);a089031b82eb4c67b2cfc686016a3820;2011-02-01
REJET_AUTO;0.33;dates contradictoires (2010-03-17 / 2011-08-16);"meme type ; dates contradictoires (2010-03-17 / 2011-08-16)";InfrastructureEvent — Première plateforme d’échange BTC (BitcoinMarket.com);d2a8798b6f064140851367c98162f594;2010-03-17;InfrastructureEvent — Première bourse BTC/EUR (Paymium);ae1cb2659fd7470b8ec1aa621226b3e1;2011-08-16
REJET_AUTO;0.33;dates contradictoires (2010-03-17 / 2011);"meme type ; dates contradictoires (2010-03-17 / 2011)";InfrastructureEvent — Première plateforme d’échange BTC (BitcoinMarket.com);d2a8798b6f064140851367c98162f594;2010-03-17;InfrastructureEvent — Kraken : plateforme d'échange cryptos (Jesse Powell, 2011);ba1d7f22fdef48b4bbc489e736810412;2011
REJET_AUTO;0.33;dates contradictoires (2010-07-18 / 2011-02-01);"meme type ; dates contradictoires (2010-07-18 / 2011-02-01)";InfrastructureEvent — Première bourse d’échange importante (MtGox);9670a4beed1a47bda5628c9770dddfd1;2010-07-18;InfrastructureEvent — Première place d’échange illégale (Silk Road);a089031b82eb4c67b2cfc686016a3820;2011-02-01
REJET_AUTO;0.33;dates contradictoires (2010-07-18 / 2011-08-16);"meme type ; dates contradictoires (2010-07-18 / 2011-08-16)";InfrastructureEvent — Première bourse d’échange importante (MtGox);9670a4beed1a47bda5628c9770dddfd1;2010-07-18;InfrastructureEvent — Première bourse BTC/EUR (Paymium);ae1cb2659fd7470b8ec1aa621226b3e1;2011-08-16
REJET_AUTO;0.33;dates contradictoires (2011-04-18 / 2015-07-30);"meme type ; dates contradictoires (2011-04-18 / 2015-07-30)";InfrastructureEvent — Lancement de Namecoin (merge mining);7b73ed5f4e7149baaf8c534c809bc33f;2011-04-18;InfrastructureEvent — Lancement d'Ethereum (Frontier, 30 juillet 2015);3c3d4fec977c4e788b850a0ea5cbebfa;2015-07-30
REJET_AUTO;0.33;dates contradictoires (2011-04-18 / 2017-07-14);"meme type ; dates contradictoires (2011-04-18 / 2017-07-14)";InfrastructureEvent — Lancement de Namecoin (merge mining);7b73ed5f4e7149baaf8c534c809bc33f;2011-04-18;InfrastructureEvent — Lancement Binance (plateforme d'échange mondiale, 2017);b3e21da76d6548fda0625c0410af758c;2017-07-14
REJET_AUTO;0.33;dates contradictoires (2011-04 / 2010-12);"meme type ; dates contradictoires (2011-04 / 2010-12)";InfrastructureEvent — Article Forbes sur Bitcoin (Greenberg, avril 2011);21e8e322b58f421aa3540bdeef5fde64;2011-04;InfrastructureEvent — Article PC World sur WikiLeaks/Bitcoin (decembre 2010);944c9169ed3d416f95bebdfd4b9b1d20;2010-12
REJET_AUTO;0.33;dates contradictoires (2010-12 / 2009-12-22);"meme type ; dates contradictoires (2010-12 / 2009-12-22)";InfrastructureEvent — Article PC World sur WikiLeaks/Bitcoin (decembre 2010);944c9169ed3d416f95bebdfd4b9b1d20;2010-12;InfrastructureEvent — Article PCWorld sur Bitcoin (décembre 2009);3a7d7850c35842dc9127080eb7d30db3;2009-12-22
REJET_AUTO;0.33;dates contradictoires (2012-04-24 / 2013);"meme type ; dates contradictoires (2012-04-24 / 2013)";InfrastructureEvent — SatoshiDice (lancement 24 avril 2012);4af2142b31984dc280cf51546cf08e9c;2012-04-24;InfrastructureEvent — Vente de SatoshiDice par Voorhees (2013, 12,4M$);96d4a9ccc4d542dc938d1aa9d6399339;2013
REJET_AUTO;0.33;dates contradictoires (2017-05 / 2017-11-11);"meme type ; dates contradictoires (2017-05 / 2017-11-11)";InfrastructureEvent — New York Agreement : tentative de conciliation Scaling Debate (mai 2017);f535babd17f4456bae93f6e02cb93337;2017-05;InfrastructureEvent — Annulation du New York Agreement / SegWit2x (novembre 2017);fb4d19f9cec5420fbadd1b074d7872a4;2017-11-11
REJET_AUTO;0.33;dates contradictoires (2015-07-30 / 2017-07-14);"meme type ; dates contradictoires (2015-07-30 / 2017-07-14)";InfrastructureEvent — Lancement d'Ethereum (Frontier, 30 juillet 2015);3c3d4fec977c4e788b850a0ea5cbebfa;2015-07-30;InfrastructureEvent — Lancement Binance (plateforme d'échange mondiale, 2017);b3e21da76d6548fda0625c0410af758c;2017-07-14
REJET_AUTO;0.3;dates contradictoires (2017-03-12 / 2016-10-27);"meme type ; dates contradictoires (2017-03-12 / 2016-10-27)";BIP-148 — Soft fork: SegWit UASF;f979ff6cc3cd4861b1de30ec72463c7c;2017-03-12;BIPs 141, 143 & 147 — Soft fork: SegWit;d25e5ffe06df4701bfc3755bdc9d1b31;2016-10-27
REJET_AUTO;0.29;CVE differents (CVE-2010-5141 / CVE-2010-5137);"meme type ; precisions emboitees ; CVE differents (CVE-2010-5141 / CVE-2010-5137)";CVE-2010-5141 (Vol de clés privées);0423dfbdf0904305b1d7e48c3df78ae2;2010;CVE-2010-5137 — OP_LSHIFT crash;dddeabcb23464ee48e9524a6ac71c6eb;2010-07-28
REJET_AUTO;0.29;CVE differents (CVE-2010-5141 / CVE-2010-5140);"meme type ; precisions emboitees ; CVE differents (CVE-2010-5141 / CVE-2010-5140)";CVE-2010-5141 (Vol de clés privées);0423dfbdf0904305b1d7e48c3df78ae2;2010;CVE-2010-5140 — Never confirming transactions;7246b452d71d4416b146f62f42a2bb64;2010-09-29
REJET_AUTO;0.29;CVE differents (CVE-2013-3220 / CVE-2013-2273);"meme type ; precisions emboitees ; CVE differents (CVE-2013-3220 / CVE-2013-2273)";CVE-2013-3220 (Netsplit BIP-0050);72ed5cce1e98494385ca4eb091d6707c;2013;CVE-2013-2273 — Predictable change output;580caacd80b14170b0d6dc071106071b;2013-01-30
REJET_AUTO;0.29;dates contradictoires (2012-03-07 / 2012-09-16);"meme type ; dates contradictoires (2012-03-07 / 2012-09-16)";CVE-2012-1909 — Transaction overwriting;a9f76f92c83143479499d10b87c6fe77;2012-03-07;CVE-2012-4682 — DOS (manque d'informations);65b41c49b2244a85ab136ed849d95b6b;2012-09-16
REJET_AUTO;0.29;types differents;types differents;BIP-65 — Soft fork: OP_CHECKLOCKTIMEVERIFY;6daefcd122a24b3589c41fcddd3732aa;2015-11-12;InfrastructureEvent — First soft fork (Value overflow bug fix);5b8c5959b2114befb0021a2c5d416e6f;2010-07-28
REJET_AUTO;0.29;types differents;types differents;BIP-148 — Soft fork: SegWit UASF;f979ff6cc3cd4861b1de30ec72463c7c;2017-03-12;InfrastructureEvent — First soft fork (Value overflow bug fix);5b8c5959b2114befb0021a2c5d416e6f;2010-07-28
REJET_AUTO;0.29;dates contradictoires (2009-10-05 / 2010-03-10);"meme type ; dates contradictoires (2009-10-05 / 2010-03-10)";InfrastructureEvent — Premier échange BTC/$ (NewLibertyStandard);66a591458af644a9a0a83a0565e02488;2009-10-05;InfrastructureEvent — Premier tournoi de poker en ligne utilisant BTC;8c6f302ba7484a718a163a6747c81fa5;2010-03-10
REJET_AUTO;0.29;dates contradictoires (2010-03-17 / 2013);"meme type ; dates contradictoires (2010-03-17 / 2013)";InfrastructureEvent — Première plateforme d’échange BTC (BitcoinMarket.com);d2a8798b6f064140851367c98162f594;2010-03-17;InfrastructureEvent — BTCC : plateforme d'échange Bitcoin chinoise (Bobby Lee);75ac54bedbfb4fe5a5f32aa8f0e74677;2013
REJET_AUTO;0.29;dates contradictoires (2010-07-18 / 2016-07-01);"meme type ; dates contradictoires (2010-07-18 / 2016-07-01)";InfrastructureEvent — Première bourse d’échange importante (MtGox);9670a4beed1a47bda5628c9770dddfd1;2010-07-18;InfrastructureEvent — Lancement bourse d'échange Bitcoin en Inde (2016);55f0a933c1f6483f80adda294c744961;2016-07-01
REJET_AUTO;0.29;dates contradictoires (2014 / 2015);"meme type ; dates contradictoires (2014 / 2015)";InfrastructureEvent — Coinbase : croissance et levee de fonds 75M$ (2015);7cda4562e3ee4e9c8bf969bdf639994a;2015;InfrastructureEvent — Levee de fonds Ethereum en BTC (2014);5f06214e17074a14874220ed7195ded9;2014
REJET_AUTO;0.29;dates contradictoires (2017-08 / 2015);"meme type ; dates contradictoires (2017-08 / 2015)";InfrastructureEvent — Fork contentieux Bitcoin / Bitcoin Cash (aout 2017);318b090059f34be4b52d389f0b38c3a7;2017-08;InfrastructureEvent — Bitcoin XT : fork Big Blockers (2015);b3d5131dbe224d39bf4527581dd095c9;2015
REJET_AUTO;0.29;dates contradictoires (2017-08 / 2016);"meme type ; dates contradictoires (2017-08 / 2016)";InfrastructureEvent — Fork contentieux Bitcoin / Bitcoin Cash (aout 2017);318b090059f34be4b52d389f0b38c3a7;2017-08;InfrastructureEvent — Bitcoin Classic : fork Big Blockers (2016);af1041289a1847b0890e7d76bcb856cd;2016
REJET_AUTO;0.29;dates contradictoires (2013 / 2011);"meme type ; dates contradictoires (2013 / 2011)";InfrastructureEvent — BTCC : plateforme d'échange Bitcoin chinoise (Bobby Lee);75ac54bedbfb4fe5a5f32aa8f0e74677;2013;InfrastructureEvent — Kraken : plateforme d'échange cryptos (Jesse Powell, 2011);ba1d7f22fdef48b4bbc489e736810412;2011
REJET_AUTO;0.29;types differents;types differents;InfrastructureEvent — New York Agreement : tentative de conciliation Scaling Debate (mai 2017);f535babd17f4456bae93f6e02cb93337;2017-05;Scaling Debate;22c507bdaa874229b5a4a145e23d123c;
